host_id,initial_size,compressed_size,compression_ratio,compression_method,timeframe,datapoints_number
0,278962,24752,1.127028e+01,gorilla,2,120
1,278962,24800,1.124847e+01,gorilla,2,120
2,278962,25312,1.102094e+01,gorilla,2,120
3,278962,24776,1.125936e+01,gorilla,2,120
4,278962,25184,1.107695e+01,gorilla,2,120
5,278962,25344,1.100702e+01,gorilla,2,120
6,278962,25264,1.104188e+01,gorilla,2,120
7,278962,25568,1.091059e+01,gorilla,2,120
8,278962,25792,1.081583e+01,gorilla,2,120
9,278962,25104,1.111225e+01,gorilla,2,120
10,278962,24920,1.119430e+01,gorilla,2,120
11,278962,25008,1.115491e+01,gorilla,2,120
12,278962,25232,1.105588e+01,gorilla,2,120
13,278962,26072,1.069968e+01,gorilla,2,120
14,278962,25248,1.104888e+01,gorilla,2,120
15,278962,25160,1.108752e+01,gorilla,2,120
16,278962,25376,1.099314e+01,gorilla,2,120
17,278962,25656,1.087317e+01,gorilla,2,120
18,278962,26080,1.069640e+01,gorilla,2,120
19,278962,24904,1.120149e+01,gorilla,2,120
20,278962,25064,1.112999e+01,gorilla,2,120
21,278962,26032,1.071612e+01,gorilla,2,120
22,278962,25056,1.113354e+01,gorilla,2,120
23,278962,24712,1.128852e+01,gorilla,2,120
24,278962,24888,1.120869e+01,gorilla,2,120
25,278962,25184,1.107695e+01,gorilla,2,120
26,278962,25296,1.102791e+01,gorilla,2,120
27,278962,24904,1.120149e+01,gorilla,2,120
28,278962,25424,1.097239e+01,gorilla,2,120
29,278962,24784,1.125573e+01,gorilla,2,120
30,278962,25184,1.107695e+01,gorilla,2,120
31,278962,25096,1.111580e+01,gorilla,2,120
32,278962,25048,1.113710e+01,gorilla,2,120
33,278962,25360,1.100008e+01,gorilla,2,120
34,278962,25104,1.111225e+01,gorilla,2,120
35,278962,25560,1.091401e+01,gorilla,2,120
36,278962,25768,1.082591e+01,gorilla,2,120
37,278962,25952,1.074915e+01,gorilla,2,120
38,278962,25176,1.108047e+01,gorilla,2,120
39,278962,25224,1.105939e+01,gorilla,2,120
40,278962,26184,1.065391e+01,gorilla,2,120
41,278962,24832,1.123397e+01,gorilla,2,120
42,278962,24792,1.125210e+01,gorilla,2,120
43,278962,24784,1.125573e+01,gorilla,2,120
44,278962,25592,1.090036e+01,gorilla,2,120
45,278962,25224,1.105939e+01,gorilla,2,120
46,278962,25432,1.096894e+01,gorilla,2,120
47,278962,24664,1.131049e+01,gorilla,2,120
48,278962,25136,1.109811e+01,gorilla,2,120
49,278962,25848,1.079240e+01,gorilla,2,120
0,545602,44160,1.235512e+01,gorilla,4,240
1,545602,44408,1.228612e+01,gorilla,4,240
2,545602,45480,1.199653e+01,gorilla,4,240
3,545602,44464,1.227065e+01,gorilla,4,240
4,545602,45216,1.206657e+01,gorilla,4,240
5,545602,45824,1.190647e+01,gorilla,4,240
6,545602,45048,1.211157e+01,gorilla,4,240
7,545602,45672,1.194609e+01,gorilla,4,240
8,545602,46776,1.166414e+01,gorilla,4,240
9,545602,45016,1.212018e+01,gorilla,4,240
10,545602,44696,1.220695e+01,gorilla,4,240
11,545602,44776,1.218514e+01,gorilla,4,240
12,545602,45280,1.204951e+01,gorilla,4,240
13,545602,47224,1.155349e+01,gorilla,4,240
14,545602,45560,1.197546e+01,gorilla,4,240
15,545602,45176,1.207725e+01,gorilla,4,240
16,545602,45416,1.201343e+01,gorilla,4,240
17,545602,46136,1.182595e+01,gorilla,4,240
18,545602,47288,1.153785e+01,gorilla,4,240
19,545602,44416,1.228391e+01,gorilla,4,240
20,545602,45128,1.209010e+01,gorilla,4,240
21,545602,46968,1.161646e+01,gorilla,4,240
22,545602,44720,1.220040e+01,gorilla,4,240
23,545602,44576,1.223982e+01,gorilla,4,240
24,545602,44856,1.216341e+01,gorilla,4,240
25,545602,45240,1.206017e+01,gorilla,4,240
26,545602,45080,1.210297e+01,gorilla,4,240
27,545602,44672,1.221351e+01,gorilla,4,240
28,545602,45648,1.195237e+01,gorilla,4,240
29,545602,44760,1.218950e+01,gorilla,4,240
30,545602,45296,1.204526e+01,gorilla,4,240
31,545602,44904,1.215041e+01,gorilla,4,240
32,545602,44736,1.219604e+01,gorilla,4,240
33,545602,45584,1.196916e+01,gorilla,4,240
34,545602,45392,1.201978e+01,gorilla,4,240
35,545602,46152,1.182185e+01,gorilla,4,240
36,545602,46032,1.185267e+01,gorilla,4,240
37,545602,46776,1.166414e+01,gorilla,4,240
38,545602,45464,1.200075e+01,gorilla,4,240
39,545602,45352,1.203038e+01,gorilla,4,240
40,545602,46968,1.161646e+01,gorilla,4,240
41,545602,44704,1.220477e+01,gorilla,4,240
42,545602,44008,1.239779e+01,gorilla,4,240
43,545602,44592,1.223542e+01,gorilla,4,240
44,545602,45968,1.186917e+01,gorilla,4,240
45,545602,45200,1.207084e+01,gorilla,4,240
46,545602,45584,1.196916e+01,gorilla,4,240
47,545602,44312,1.231274e+01,gorilla,4,240
48,545602,45192,1.207298e+01,gorilla,4,240
49,545602,46464,1.174247e+01,gorilla,4,240
0,1078882,77128,1.398820e+01,gorilla,8,480
1,1078882,75344,1.431941e+01,gorilla,8,480
