host_id,initial_size,compressed_size,compression_ratio,compression_method,timeframe
0,3098184,4136960,7.489035e-01,gorilla,2,120
1,3096715,4136960,7.485485e-01,gorilla,2,120
2,3097756,4136960,7.488001e-01,gorilla,2,120
3,3100468,4136960,7.494556e-01,gorilla,2,120
4,3096679,4136960,7.485397e-01,gorilla,2,120
5,3099905,4136960,7.493195e-01,gorilla,2,120
6,3096621,4136960,7.485257e-01,gorilla,2,120
7,3097080,4136960,7.486367e-01,gorilla,2,120
8,3094040,4136960,7.479018e-01,gorilla,2,120
9,3098128,4136960,7.488900e-01,gorilla,2,120
10,3097741,4136960,7.487965e-01,gorilla,2,120
11,3095888,4136960,7.483485e-01,gorilla,2,120
12,3097537,4136960,7.487471e-01,gorilla,2,120
13,3098568,4136960,7.489964e-01,gorilla,2,120
14,3097396,4136960,7.487131e-01,gorilla,2,120
15,3098477,4136960,7.489744e-01,gorilla,2,120
16,3099451,4136960,7.492098e-01,gorilla,2,120
17,3098734,4136960,7.490365e-01,gorilla,2,120
18,3097347,4136960,7.487012e-01,gorilla,2,120
19,3097796,4136960,7.488098e-01,gorilla,2,120
20,3100360,4136960,7.494295e-01,gorilla,2,120
21,3096083,4136960,7.483957e-01,gorilla,2,120
22,3097446,4136960,7.487252e-01,gorilla,2,120
23,3097072,4136960,7.486347e-01,gorilla,2,120
24,3095899,4136960,7.483512e-01,gorilla,2,120
25,3096017,4136960,7.483797e-01,gorilla,2,120
26,3096250,4136960,7.484360e-01,gorilla,2,120
27,3097895,4136960,7.488337e-01,gorilla,2,120
28,3094585,4136960,7.480336e-01,gorilla,2,120
29,3098097,4136960,7.488825e-01,gorilla,2,120
30,3096956,4136960,7.486067e-01,gorilla,2,120
31,3096007,4136960,7.483773e-01,gorilla,2,120
32,3099340,4136960,7.491830e-01,gorilla,2,120
33,3096205,4136960,7.484252e-01,gorilla,2,120
34,3099834,4136960,7.493024e-01,gorilla,2,120
35,3096105,4136960,7.484010e-01,gorilla,2,120
36,3095971,4136960,7.483686e-01,gorilla,2,120
37,3095563,4136960,7.482700e-01,gorilla,2,120
38,3094190,4136960,7.479381e-01,gorilla,2,120
39,3100170,4136960,7.493836e-01,gorilla,2,120
40,3100504,4136960,7.494643e-01,gorilla,2,120
41,3094509,4136960,7.480152e-01,gorilla,2,120
42,3100529,4136960,7.494704e-01,gorilla,2,120
43,3096858,4136960,7.485830e-01,gorilla,2,120
44,3097570,4136960,7.487551e-01,gorilla,2,120
45,3095904,4136960,7.483524e-01,gorilla,2,120
46,3096196,4136960,7.484230e-01,gorilla,2,120
47,3094983,4136960,7.481298e-01,gorilla,2,120
48,3095689,4136960,7.483004e-01,gorilla,2,120
49,3097974,4136960,7.488528e-01,gorilla,2,120
0,3098184,4136960,7.489035e-01,gorilla,4,240
1,3096715,4136960,7.485485e-01,gorilla,4,240
2,3097756,4136960,7.488001e-01,gorilla,4,240
3,3100468,4136960,7.494556e-01,gorilla,4,240
4,3096679,4136960,7.485397e-01,gorilla,4,240
5,3099905,4136960,7.493195e-01,gorilla,4,240
6,3096621,4136960,7.485257e-01,gorilla,4,240
7,3097080,4136960,7.486367e-01,gorilla,4,240
8,3094040,4136960,7.479018e-01,gorilla,4,240
9,3098128,4136960,7.488900e-01,gorilla,4,240
10,3097741,4136960,7.487965e-01,gorilla,4,240
11,3095888,4136960,7.483485e-01,gorilla,4,240
12,3097537,4136960,7.487471e-01,gorilla,4,240
13,3098568,4136960,7.489964e-01,gorilla,4,240
14,3097396,4136960,7.487131e-01,gorilla,4,240
15,3098477,4136960,7.489744e-01,gorilla,4,240
16,3099451,4136960,7.492098e-01,gorilla,4,240
17,3098734,4136960,7.490365e-01,gorilla,4,240
18,3097347,4136960,7.487012e-01,gorilla,4,240
19,3097796,4136960,7.488098e-01,gorilla,4,240
20,3100360,4136960,7.494295e-01,gorilla,4,240
21,3096083,4136960,7.483957e-01,gorilla,4,240
22,3097446,4136960,7.487252e-01,gorilla,4,240
23,3097072,4136960,7.486347e-01,gorilla,4,240
24,3095899,4136960,7.483512e-01,gorilla,4,240
25,3096017,4136960,7.483797e-01,gorilla,4,240
26,3096250,4136960,7.484360e-01,gorilla,4,240
27,3097895,4136960,7.488337e-01,gorilla,4,240
28,3094585,4136960,7.480336e-01,gorilla,4,240
29,3098097,4136960,7.488825e-01,gorilla,4,240
30,3096956,4136960,7.486067e-01,gorilla,4,240
31,3096007,4136960,7.483773e-01,gorilla,4,240
32,3099340,4136960,7.491830e-01,gorilla,4,240
33,3096205,4136960,7.484252e-01,gorilla,4,240
34,3099834,4136960,7.493024e-01,gorilla,4,240
35,3096105,4136960,7.484010e-01,gorilla,4,240
36,3095971,4136960,7.483686e-01,gorilla,4,240
37,3095563,4136960,7.482700e-01,gorilla,4,240
38,3094190,4136960,7.479381e-01,gorilla,4,240
39,3100170,4136960,7.493836e-01,gorilla,4,240
40,3100504,4136960,7.494643e-01,gorilla,4,240
41,3094509,4136960,7.480152e-01,gorilla,4,240
42,3100529,4136960,7.494704e-01,gorilla,4,240
43,3096858,4136960,7.485830e-01,gorilla,4,240
44,3097570,4136960,7.487551e-01,gorilla,4,240
45,3095904,4136960,7.483524e-01,gorilla,4,240
46,3096196,4136960,7.484230e-01,gorilla,4,240
47,3094983,4136960,7.481298e-01,gorilla,4,240
48,3095689,4136960,7.483004e-01,gorilla,4,240
49,3097974,4136960,7.488528e-01,gorilla,4,240
0,3098184,4136960,7.489035e-01,gorilla,8,480
1,3096715,4136960,7.485485e-01,gorilla,8,480
2,3097756,4136960,7.488001e-01,gorilla,8,480
3,3100468,4136960,7.494556e-01,gorilla,8,480
4,3096679,4136960,7.485397e-01,gorilla,8,480
5,3099905,4136960,7.493195e-01,gorilla,8,480
6,3096621,4136960,7.485257e-01,gorilla,8,480
7,3097080,4136960,7.486367e-01,gorilla,8,480
8,3094040,4136960,7.479018e-01,gorilla,8,480
9,3098128,4136960,7.488900e-01,gorilla,8,480
10,3097741,4136960,7.487965e-01,gorilla,8,480
11,3095888,4136960,7.483485e-01,gorilla,8,480
12,3097537,4136960,7.487471e-01,gorilla,8,480
13,3098568,4136960,7.489964e-01,gorilla,8,480
14,3097396,4136960,7.487131e-01,gorilla,8,480
15,3098477,4136960,7.489744e-01,gorilla,8,480
16,3099451,4136960,7.492098e-01,gorilla,8,480
17,3098734,4136960,7.490365e-01,gorilla,8,480
18,3097347,4136960,7.487012e-01,gorilla,8,480
19,3097796,4136960,7.488098e-01,gorilla,8,480
20,3100360,4136960,7.494295e-01,gorilla,8,480
21,3096083,4136960,7.483957e-01,gorilla,8,480
22,3097446,4136960,7.487252e-01,gorilla,8,480
23,3097072,4136960,7.486347e-01,gorilla,8,480
24,3095899,4136960,7.483512e-01,gorilla,8,480
25,3096017,4136960,7.483797e-01,gorilla,8,480
26,3096250,4136960,7.484360e-01,gorilla,8,480
27,3097895,4136960,7.488337e-01,gorilla,8,480
28,3094585,4136960,7.480336e-01,gorilla,8,480
29,3098097,4136960,7.488825e-01,gorilla,8,480
30,3096956,4136960,7.486067e-01,gorilla,8,480
31,3096007,4136960,7.483773e-01,gorilla,8,480
32,3099340,4136960,7.491830e-01,gorilla,8,480
33,3096205,4136960,7.484252e-01,gorilla,8,480
34,3099834,4136960,7.493024e-01,gorilla,8,480
35,3096105,4136960,7.484010e-01,gorilla,8,480
36,3095971,4136960,7.483686e-01,gorilla,8,480
37,3095563,4136960,7.482700e-01,gorilla,8,480
38,3094190,4136960,7.479381e-01,gorilla,8,480
39,3100170,4136960,7.493836e-01,gorilla,8,480
40,3100504,4136960,7.494643e-01,gorilla,8,480
41,3094509,4136960,7.480152e-01,gorilla,8,480
42,3100529,4136960,7.494704e-01,gorilla,8,480
43,3096858,4136960,7.485830e-01,gorilla,8,480
44,3097570,4136960,7.487551e-01,gorilla,8,480
45,3095904,4136960,7.483524e-01,gorilla,8,480
46,3096196,4136960,7.484230e-01,gorilla,8,480
47,3094983,4136960,7.481298e-01,gorilla,8,480
48,3095689,4136960,7.483004e-01,gorilla,8,480
49,3097974,4136960,7.488528e-01,gorilla,8,480
0,3098184,4136960,7.489035e-01,gorilla,16,960
1,3096715,4136960,7.485485e-01,gorilla,16,960
2,3097756,4136960,7.488001e-01,gorilla,16,960
3,3100468,4136960,7.494556e-01,gorilla,16,960
4,3096679,4136960,7.485397e-01,gorilla,16,960
5,3099905,4136960,7.493195e-01,gorilla,16,960
6,3096621,4136960,7.485257e-01,gorilla,16,960
7,3097080,4136960,7.486367e-01,gorilla,16,960
8,3094040,4136960,7.479018e-01,gorilla,16,960
9,3098128,4136960,7.488900e-01,gorilla,16,960
10,3097741,4136960,7.487965e-01,gorilla,16,960
11,3095888,4136960,7.483485e-01,gorilla,16,960
12,3097537,4136960,7.487471e-01,gorilla,16,960
13,3098568,4136960,7.489964e-01,gorilla,16,960
14,3097396,4136960,7.487131e-01,gorilla,16,960
15,3098477,4136960,7.489744e-01,gorilla,16,960
16,3099451,4136960,7.492098e-01,gorilla,16,960
17,3098734,4136960,7.490365e-01,gorilla,16,960
18,3097347,4136960,7.487012e-01,gorilla,16,960
19,3097796,4136960,7.488098e-01,gorilla,16,960
20,3100360,4136960,7.494295e-01,gorilla,16,960
21,3096083,4136960,7.483957e-01,gorilla,16,960
22,3097446,4136960,7.487252e-01,gorilla,16,960
23,3097072,4136960,7.486347e-01,gorilla,16,960
24,3095899,4136960,7.483512e-01,gorilla,16,960
25,3096017,4136960,7.483797e-01,gorilla,16,960
26,3096250,4136960,7.484360e-01,gorilla,16,960
27,3097895,4136960,7.488337e-01,gorilla,16,960
28,3094585,4136960,7.480336e-01,gorilla,16,960
29,3098097,4136960,7.488825e-01,gorilla,16,960
30,3096956,4136960,7.486067e-01,gorilla,16,960
31,3096007,4136960,7.483773e-01,gorilla,16,960
32,3099340,4136960,7.491830e-01,gorilla,16,960
33,3096205,4136960,7.484252e-01,gorilla,16,960
34,3099834,4136960,7.493024e-01,gorilla,16,960
35,3096105,4136960,7.484010e-01,gorilla,16,960
36,3095971,4136960,7.483686e-01,gorilla,16,960
37,3095563,4136960,7.482700e-01,gorilla,16,960
38,3094190,4136960,7.479381e-01,gorilla,16,960
39,3100170,4136960,7.493836e-01,gorilla,16,960
40,3100504,4136960,7.494643e-01,gorilla,16,960
41,3094509,4136960,7.480152e-01,gorilla,16,960
42,3100529,4136960,7.494704e-01,gorilla,16,960
43,3096858,4136960,7.485830e-01,gorilla,16,960
44,3097570,4136960,7.487551e-01,gorilla,16,960
45,3095904,4136960,7.483524e-01,gorilla,16,960
46,3096196,4136960,7.484230e-01,gorilla,16,960
47,3094983,4136960,7.481298e-01,gorilla,16,960
48,3095689,4136960,7.483004e-01,gorilla,16,960
49,3097974,4136960,7.488528e-01,gorilla,16,960
0,3098184,4136960,7.489035e-01,gorilla,48,2880
1,3096715,4136960,7.485485e-01,gorilla,48,2880
2,3097756,4136960,7.488001e-01,gorilla,48,2880
3,3100468,4136960,7.494556e-01,gorilla,48,2880
4,3096679,4136960,7.485397e-01,gorilla,48,2880
5,3099905,4136960,7.493195e-01,gorilla,48,2880
6,3096621,4136960,7.485257e-01,gorilla,48,2880
7,3097080,4136960,7.486367e-01,gorilla,48,2880
8,3094040,4136960,7.479018e-01,gorilla,48,2880
9,3098128,4136960,7.488900e-01,gorilla,48,2880
10,3097741,4136960,7.487965e-01,gorilla,48,2880
11,3095888,4136960,7.483485e-01,gorilla,48,2880
12,3097537,4136960,7.487471e-01,gorilla,48,2880
13,3098568,4136960,7.489964e-01,gorilla,48,2880
14,3097396,4136960,7.487131e-01,gorilla,48,2880
15,3098477,4136960,7.489744e-01,gorilla,48,2880
16,3099451,4136960,7.492098e-01,gorilla,48,2880
17,3098734,4136960,7.490365e-01,gorilla,48,2880
18,3097347,4136960,7.487012e-01,gorilla,48,2880
19,3097796,4136960,7.488098e-01,gorilla,48,2880
20,3100360,4136960,7.494295e-01,gorilla,48,2880
21,3096083,4136960,7.483957e-01,gorilla,48,2880
22,3097446,4136960,7.487252e-01,gorilla,48,2880
23,3097072,4136960,7.486347e-01,gorilla,48,2880
24,3095899,4136960,7.483512e-01,gorilla,48,2880
25,3096017,4136960,7.483797e-01,gorilla,48,2880
26,3096250,4136960,7.484360e-01,gorilla,48,2880
27,3097895,4136960,7.488337e-01,gorilla,48,2880
28,3094585,4136960,7.480336e-01,gorilla,48,2880
29,3098097,4136960,7.488825e-01,gorilla,48,2880
30,3096956,4136960,7.486067e-01,gorilla,48,2880
31,3096007,4136960,7.483773e-01,gorilla,48,2880
32,3099340,4136960,7.491830e-01,gorilla,48,2880
33,3096205,4136960,7.484252e-01,gorilla,48,2880
34,3099834,4136960,7.493024e-01,gorilla,48,2880
35,3096105,4136960,7.484010e-01,gorilla,48,2880
36,3095971,4136960,7.483686e-01,gorilla,48,2880
37,3095563,4136960,7.482700e-01,gorilla,48,2880
38,3094190,4136960,7.479381e-01,gorilla,48,2880
39,3100170,4136960,7.493836e-01,gorilla,48,2880
40,3100504,4136960,7.494643e-01,gorilla,48,2880
41,3094509,4136960,7.480152e-01,gorilla,48,2880
42,3100529,4136960,7.494704e-01,gorilla,48,2880
43,3096858,4136960,7.485830e-01,gorilla,48,2880
44,3097570,4136960,7.487551e-01,gorilla,48,2880
